Length,RMSE,R2
0,32.75800458422703,0.0
1,21.455529015625405,0.5520034790253916
2,20.546990857157866,0.6132115904474065
3,20.2489551818801,0.6200487352530943
4,19.94030691531717,0.6294128265611227
5,19.37070539957914,0.6467402792929249
6,19.37070539957914,0.6467402792929249
7,19.37070539957914,0.6467402792929249
8,19.37070539957914,0.6467402792929249
9,19.37070539957914,0.6467402792929249
10,19.37070539957914,0.6467402792929249
11,19.37070539957914,0.6467402792929249
12,19.37070539957914,0.6467402792929249
13,19.37070539957914,0.6467402792929249
14,19.37070539957914,0.6467402792929249
15,19.37070539957914,0.6467402792929249
16,19.37070539957914,0.6467402792929249
17,19.37070539957914,0.6467402792929249
18,19.37070539957914,0.6467402792929249
19,19.37070539957914,0.6467402792929249
20,19.37070539957914,0.6467402792929249
21,19.37070539957914,0.6467402792929249
22,19.37070539957914,0.6467402792929249
23,19.37070539957914,0.6467402792929249
