Length,RMSE,R2
0,63.70522345673567,0.0
1,46.04623025326208,0.4848670537852948
2,28.19427152868322,0.7908941099348855
3,27.3680380226454,0.8116083227837756
4,26.375109474523956,0.8325848975346446
5,26.375109474523956,0.8325848975346446
6,26.375109474523956,0.8325848975346446
7,25.05250935721217,0.8325848975346446
8,25.05250935721217,0.8325848975346446
9,25.05250935721217,0.848725094869706
10,24.94780749438944,0.848725094869706
11,24.94780749438944,0.848725094869706
12,24.88513780772572,0.8531285288271413
13,24.88513780772572,0.8531285288271413
14,24.88513780772572,0.8531285288271413
15,24.88513780772572,0.8531285288271413
16,24.104457496861208,0.8531285288271413
17,22.871144616731648,0.8752065954963355
18,22.871144616731648,0.8752065954963355
19,22.871144616731648,0.8752065954963355
20,22.871144616731648,0.8752065954963355
21,22.871144616731648,0.8752065954963355
22,22.871144616731648,0.8752065954963355
23,22.871144616731648,0.8752065954963355
24,22.871144616731648,0.8752065954963355
25,22.871144616731648,0.8752065954963355
26,22.871144616731648,0.8752065954963355
27,22.332063188065497,0.8752065954963355
28,22.332063188065497,0.8752065954963355
29,22.332063188065497,0.8752065954963355
30,22.332063188065497,0.8752065954963355
31,22.03416528116737,0.8752065954963355
32,22.03416528116737,0.8763307809829712
33,22.03416528116737,0.8763307809829712
34,22.03416528116737,0.8763307809829712
35,22.03416528116737,0.8763307809829712
36,22.03416528116737,0.8763307809829712
37,22.03416528116737,0.8763307809829712
38,22.03416528116737,0.8763307809829712
39,22.03416528116737,0.8763307809829712
40,22.03416528116737,0.8763307809829712
41,22.03416528116737,0.8763307809829712
42,22.03416528116737,0.8763307809829712
43,22.03416528116737,0.8763307809829712
44,22.03416528116737,0.8763307809829712
45,22.03416528116737,0.8763307809829712
46,22.03416528116737,0.8763307809829712
47,22.03416528116737,0.8763307809829712
48,21.457712825411203,0.885084581375122
49,21.457712825411203,0.885084581375122
50,21.14528021853101,0.885084581375122
51,21.14528021853101,0.885084581375122
52,21.14528021853101,0.885084581375122
