Length,RMSE,R2
0,0.4231215876336225,0.0
1,0.2802818612088434,0.5580086727842969
2,0.2259259723836855,0.7025517744023045
3,0.18065399599208,0.8114708050249975
4,0.1746874659089927,0.8335887091045547
5,0.1721547548725781,0.8335887091045547
6,0.1636369724299419,0.8475464049590377
7,0.1636369724299419,0.851703295509831
8,0.1547575169202502,0.8614016233631121
9,0.1547575169202502,0.863093146237653
10,0.1547575169202502,0.8655575816550183
11,0.1498911082373198,0.8729583022601866
12,0.1478989317447153,0.8773926399733402
13,0.1464773786224941,0.8794914274734447
14,0.1444695256777426,0.8876114428151196
15,0.1444695256777426,0.8876114428151196
16,0.1406623635566927,0.8876114428151196
17,0.1406623635566927,0.8904883980751037
18,0.1406623635566927,0.8904883980751037
19,0.1406623635566927,0.8904883980751037
20,0.1406623635566927,0.8904883980751037
21,0.1406623635566927,0.8904883980751037
22,0.1359262733394342,0.8953896999359131
23,0.1359262733394342,0.8953896999359131
24,0.1359262733394342,0.8953896999359131
25,0.1359262733394342,0.8953896999359131
26,0.1359262733394342,0.8953896999359131
27,0.1359262733394342,0.8953896999359131
28,0.1359262733394342,0.8953896999359131
29,0.1359262733394342,0.8953896999359131
30,0.1359262733394342,0.8953896999359131
31,0.1359262733394342,0.8953896999359131
32,0.1349940469261452,0.8953896999359131
33,0.1349940469261452,0.8953896999359131
34,0.1349940469261452,0.899808919429779
35,0.1327404880770196,0.9028130173683168
36,0.1327404880770196,0.9028130173683168
37,0.1327404880770196,0.9028130173683168
38,0.1327404880770196,0.9028130173683168
39,0.1327404880770196,0.9028130173683168
40,0.1327404880770196,0.9028130173683168
41,0.1323750595615165,0.9028130173683168
42,0.1323750595615165,0.9028130173683168
43,0.1323750595615165,0.9028130173683168
44,0.1323750595615165,0.9028130173683168
45,0.1323750595615165,0.9028130173683168
46,0.1323750595615165,0.9028130173683168
47,0.1323750595615165,0.9028130173683168
48,0.1323750595615165,0.9028130173683168
49,0.1323750595615165,0.9028130173683168
50,0.1323750595615165,0.9028130173683168
51,0.1323750595615165,0.9028130173683168
52,0.1323750595615165,0.9028130173683168
53,0.1305825011453167,0.9040501832962036
54,0.1305825011453167,0.9040501832962036
55,0.1305825011453167,0.9040501832962036
56,0.1305825011453167,0.9040501832962036
57,0.127487247540625,0.9148759841918944
