Length,RMSE,R2
0,32.75800458422703,0.0
1,32.75800458422703,0.0
2,32.66654143673263,0.0
3,31.81788017937102,0.0
4,31.81788017937102,0.0
5,31.81788017937102,0.0
6,22.13172967613645,0.5039531810899711
7,22.13172967613645,0.5054040006366131
8,22.13172967613645,0.505992435496433
9,22.13172967613645,0.505992435496433
10,22.13172967613645,0.505992435496433
11,22.13172967613645,0.505992435496433
12,22.13172967613645,0.505992435496433
13,22.13172967613645,0.505992435496433
14,22.13172967613645,0.505992435496433
15,22.13172967613645,0.505992435496433
16,22.13172967613645,0.505992435496433
17,22.13172967613645,0.505992435496433
18,22.13172967613645,0.5126464247703553
19,22.13172967613645,0.5744331359863282
20,21.303050544292297,0.5744331359863282
21,20.18999220504766,0.606034004688263
22,20.18999220504766,0.606034004688263
23,20.18999220504766,0.606034004688263
