Length,RMSE,R2
0,0.4231215876336225,0.0
1,0.3115532475464128,0.4660309740272407
2,0.2131199782801993,0.7465711651738327
3,0.21025180878868,0.7580565865122637
4,0.2008685328342427,0.7758804574917298
5,0.1753640429903295,0.8212881344699335
6,0.1753640429903295,0.8212881344699335
7,0.1594844425336082,0.8590482686116646
8,0.1594844425336082,0.8590482686116646
9,0.1594844425336082,0.8590482686116646
10,0.1594844425336082,0.8590482686116646
11,0.1594844425336082,0.8590482686116646
12,0.1594844425336082,0.8590482686116646
13,0.1534343718649159,0.8667603900496657
14,0.1506677293195725,0.8667603900496657
15,0.1506677293195725,0.8691770195960998
16,0.1506677293195725,0.8691770195960998
17,0.1506677293195725,0.8691770195960998
18,0.1465266009195118,0.8760729789733886
19,0.1465266009195118,0.8760729789733886
20,0.1465266009195118,0.8760729789733886
21,0.1439665153655515,0.8806507587432861
22,0.1439665153655515,0.8806507587432861
23,0.1439665153655515,0.8806507587432861
24,0.1439665153655515,0.8806507587432861
25,0.1439665153655515,0.8819735884666443
26,0.1439665153655515,0.8819735884666443
27,0.1419691658545298,0.8901305675506592
28,0.1419691658545298,0.8901305675506592
29,0.1419691658545298,0.8901305675506592
30,0.1419691658545298,0.8901305675506592
31,0.1419691658545298,0.8901305675506592
32,0.1362157073421878,0.8971547722816468
33,0.1362157073421878,0.8971547722816468
34,0.1362157073421878,0.8971547722816468
35,0.1362157073421878,0.8971547722816468
36,0.1362157073421878,0.8971547722816468
37,0.1362157073421878,0.8971547722816468
38,0.1362157073421878,0.8971547722816468
39,0.1362157073421878,0.8971547722816468
40,0.1362157073421878,0.8971547722816468
41,0.1362157073421878,0.8971547722816468
42,0.1348831558949534,0.8995673298835755
43,0.1348831558949534,0.8995673298835755
44,0.1348831558949534,0.8995673298835755
45,0.1339755922753316,0.900186276435852
46,0.1339755922753316,0.900186276435852
47,0.1339755922753316,0.900186276435852
48,0.1339755922753316,0.900186276435852
49,0.1339755922753316,0.900186276435852
50,0.1339755922753316,0.900186276435852
51,0.1339755922753316,0.900186276435852
52,0.1339755922753316,0.903140103816986
53,0.1333063208591151,0.903140103816986
54,0.1333063208591151,0.903140103816986
55,0.1333063208591151,0.903140103816986
56,0.1333063208591151,0.903140103816986
57,0.1319964497549237,0.903140103816986
58,0.1319964497549237,0.903140103816986
59,0.1319964497549237,0.903140103816986
60,0.1319575348951717,0.903140103816986
61,0.1279336107899395,0.913098931312561
62,0.1279336107899395,0.913098931312561
63,0.1279336107899395,0.913098931312561
64,0.1279336107899395,0.913098931312561
65,0.1279336107899395,0.913098931312561
66,0.1279336107899395,0.913098931312561
67,0.1279336107899395,0.913098931312561
68,0.1279336107899395,0.913098931312561
69,0.1279336107899395,0.913098931312561
70,0.1279336107899395,0.913098931312561
71,0.1279336107899395,0.913098931312561
72,0.1279336107899395,0.913098931312561
73,0.1277572037684429,0.913098931312561
74,0.1277572037684429,0.913098931312561
75,0.1277572037684429,0.913098931312561
76,0.1277572037684429,0.913098931312561
77,0.1277572037684429,0.913098931312561
78,0.1277572037684429,0.913098931312561
79,0.1277572037684429,0.913098931312561
80,0.1271412706841214,0.913098931312561
81,0.1271412706841214,0.913098931312561
82,0.1271412706841214,0.913098931312561
83,0.1209507471664192,0.9173107385635376
84,0.1209507471664192,0.9173107385635376
85,0.1209507471664192,0.9173107385635376
86,0.1209507471664192,0.9173107385635376
87,0.1209507471664192,0.9173107385635376
88,0.1209507471664192,0.9173107385635376
89,0.1209507471664192,0.9173107385635376
90,0.1209507471664192,0.9173107385635376
91,0.1209507471664192,0.9173107385635376
92,0.1209507471664192,0.9173107385635376
93,0.1209507471664192,0.9173107385635376
94,0.1209507471664192,0.9173107385635376
95,0.1209507471664192,0.9173107385635376
96,0.1209507471664192,0.9173107385635376
97,0.1209507471664192,0.9173107385635376
98,0.1209507471664192,0.9173107385635376
99,0.1209507471664192,0.9173107385635376
100,0.1209507471664192,0.9173107385635376
101,0.1209507471664192,0.9173107385635376
102,0.1209507471664192,0.9173107385635376
103,0.1209507471664192,0.9173107385635376
104,0.1209507471664192,0.9173107385635376
105,0.1209507471664192,0.9173107385635376
106,0.1209507471664192,0.9173107385635376
107,0.1209507471664192,0.9173107385635376
108,0.1209507471664192,0.9173107385635376
109,0.1209507471664192,0.9173107385635376
110,0.1209507471664192,0.9173107385635376
111,0.1209507471664192,0.9173107385635376
112,0.1209507471664192,0.9173107385635376
113,0.1209507471664192,0.9173107385635376
114,0.1209507471664192,0.9173107385635376
115,0.1209507471664192,0.9173107385635376
116,0.1209507471664192,0.9173107385635376
117,0.1172754820287197,0.923432958126068
118,0.1172754820287197,0.923432958126068
119,0.1172754820287197,0.923432958126068
120,0.1172754820287197,0.923432958126068
121,0.1172754820287197,0.923432958126068
122,0.1172754820287197,0.923432958126068
123,0.1172754820287197,0.923432958126068
124,0.1172754820287197,0.923432958126068
125,0.1172754820287197,0.923432958126068
126,0.1172754820287197,0.923432958126068
127,0.1172754820287197,0.923432958126068
128,0.1172754820287197,0.923432958126068
129,0.1172754820287197,0.923432958126068
130,0.1172754820287197,0.923432958126068
131,0.1172754820287197,0.923432958126068
132,0.1172754820287197,0.923432958126068
133,0.1172754820287197,0.923432958126068
134,0.1172754820287197,0.923432958126068
135,0.1172754820287197,0.923432958126068
136,0.1172754820287197,0.923432958126068
137,0.1172754820287197,0.923432958126068
138,0.1172754820287197,0.923432958126068
139,0.1172754820287197,0.923432958126068
140,0.1172754820287197,0.923432958126068
141,0.1172754820287197,0.923432958126068
142,0.1172754820287197,0.923432958126068
143,0.1172754820287197,0.923432958126068
144,0.1172754820287197,0.923432958126068
145,0.1172754820287197,0.923432958126068
146,0.1172754820287197,0.923432958126068
147,0.1172754820287197,0.923432958126068
148,0.1172754820287197,0.923432958126068
149,0.1172754820287197,0.923432958126068
150,0.1172754820287197,0.923432958126068
151,0.1172754820287197,0.923432958126068
152,0.1172754820287197,0.923432958126068
153,0.1172754820287197,0.923432958126068
154,0.1172754820287197,0.923432958126068
155,0.1172754820287197,0.923432958126068
156,0.1172754820287197,0.923432958126068
157,0.1172754820287197,0.923432958126068
158,0.1172754820287197,0.923432958126068
159,0.1172754820287197,0.923432958126068
160,0.1172754820287197,0.923432958126068
161,0.1172754820287197,0.923432958126068
162,0.1172754820287197,0.923432958126068
163,0.1172754820287197,0.923432958126068
164,0.1172754820287197,0.923432958126068
165,0.1172754820287197,0.923432958126068
166,0.1172754820287197,0.923432958126068
167,0.1172754820287197,0.923432958126068
168,0.1172754820287197,0.923432958126068
169,0.1172754820287197,0.923432958126068
170,0.1172754820287197,0.923432958126068
171,0.1172754820287197,0.923432958126068
172,0.1172754820287197,0.923432958126068
173,0.1172754820287197,0.923432958126068
174,0.1172754820287197,0.923432958126068
175,0.1172754820287197,0.923432958126068
176,0.1172754820287197,0.923432958126068
177,0.1172754820287197,0.923432958126068
178,0.1172754820287197,0.923432958126068
179,0.1172754820287197,0.923432958126068
180,0.1172754820287197,0.923432958126068
181,0.1172754820287197,0.923432958126068
182,0.1172754820287197,0.923432958126068
183,0.1172754820287197,0.923432958126068
184,0.1172754820287197,0.923432958126068
185,0.1172754820287197,0.923432958126068
186,0.1172754820287197,0.923432958126068
187,0.1172754820287197,0.923432958126068
188,0.1172754820287197,0.923432958126068
189,0.1172754820287197,0.923432958126068
190,0.1172754820287197,0.923432958126068
191,0.1172754820287197,0.923432958126068
192,0.1172754820287197,0.923432958126068
193,0.1172754820287197,0.923432958126068
194,0.1172754820287197,0.923432958126068
195,0.1172754820287197,0.923432958126068
196,0.1172754820287197,0.923432958126068
197,0.1172754820287197,0.923432958126068
198,0.1172754820287197,0.923432958126068
199,0.1172754820287197,0.923432958126068
200,0.1172754820287197,0.923432958126068
201,0.1172754820287197,0.923432958126068
202,0.1172754820287197,0.923432958126068
203,0.1172754820287197,0.923432958126068
204,0.1172754820287197,0.923432958126068
205,0.1172754820287197,0.923432958126068
206,0.1172754820287197,0.923432958126068
207,0.1172754820287197,0.923432958126068
208,0.1172754820287197,0.923432958126068
209,0.1172754820287197,0.923432958126068
210,0.1172754820287197,0.923432958126068
211,0.1172754820287197,0.923432958126068
212,0.1172754820287197,0.923432958126068
213,0.1172754820287197,0.923432958126068
214,0.1172754820287197,0.923432958126068
215,0.1172754820287197,0.923432958126068
216,0.1172754820287197,0.923432958126068
217,0.1172754820287197,0.923432958126068
218,0.1172754820287197,0.923432958126068
219,0.1172754820287197,0.923432958126068
220,0.1172754820287197,0.923432958126068
221,0.1172754820287197,0.923432958126068
222,0.1172754820287197,0.923432958126068
223,0.1172754820287197,0.923432958126068
224,0.1172754820287197,0.923432958126068
225,0.1172754820287197,0.923432958126068
226,0.1172754820287197,0.923432958126068
227,0.1172754820287197,0.923432958126068
228,0.1172754820287197,0.923432958126068
229,0.1172754820287197,0.923432958126068
230,0.1172754820287197,0.923432958126068
231,0.1172754820287197,0.923432958126068
232,0.1172754820287197,0.923432958126068
